M_1,V2_1,M_2,V2_2,M_3,V2_3,M_4,V2_4,M_5,V2_5,M_6,V2_6,M_7,V2_7,M_8,V2_8,M_9,V2_9,M_10,V2_10,M_11,V2_11,,M_our_M3,V2_our_M3,M_our_D3,V2_our_D3
8.631127881,3.03E-05,8.631127881,0.00013473,68.35033561,0.092105532,10.3389223,1.27E-05,6.358835107,1.64E-05,199.8411875,4.33E-06,199.8411875,6.14E-06,199.8411875,1.47E-07,199.8411875,4.48E-07,199.8411875,1.52E-06,199.8411875,1.04E-06,,1.00E+03,6.63e-06,1.00E+03,7.11E-06
10.77877387,2.88E-05,11.08235574,0.000213972,103.6767904,0.071232563,19.85863239,2.12E-05,7.511971307,7.58E-06,300,3.42E-06,302.2446465,2.68E-06,300,2.41E-07,300,4.07E-07,249.9227983,1.28E-06,249.9227983,1.53E-06,,2.00E+03,2.94E-06,2.00E+03,2.96E-06
15.04257117,2.74E-05,15.04257117,0.000306625,163.9519272,0.047217952,29.29729358,1.40E-05,8.751830831,3.00E-06,499.8970592,1.05E-06,499.8970592,1.05E-06,399.723525,3.81E-07,399.723525,3.68E-07,300,2.68E-06,300,3.54E-06,,,,,
18.01896306,3.03E-05,19.85863239,0.000462571,302.0622839,0.028241831,39.76651119,1.14E-05,10.1963306,1.80E-06,699.1363641,1.99E-06,701.7470132,1.79E-06,499.8970592,4.11E-07,499.8970592,3.70E-07,349.5321954,4.69E-06,350.8373855,3.09E-06,,,,,
23.45987499,3.19E-05,26.21661391,0.000539688,497.9956773,0.034687945,49.66143909,8.84E-06,14.63050607,8.75E-07,900.8079588,2.64E-06,900.8079588,2.93E-06,600.061774,4.42E-07,600.061774,7.99E-07,399.723525,1.09E-05,401.2161349,1.39E-05,,,,,
25.85504126,3.92E-05,36.08261042,0.000598116,704.7087277,0.017782794,60.31959037,1.09E-05,19.85863239,4.72E-07,1101.643308,5.14E-06,1097.544959,4.63E-06,699.1363641,1.45E-06,699.1363641,1.10E-06,450.3576121,4.24E-05,450.3576121,4.71E-05,,,,,
28.49474513,3.36E-05,49.66143909,0.000697831,1025.312976,0.017782794,80.74525463,3.88E-06,24.79996946,3.47E-07,1297.964977,6.13E-06,1297.964977,6.35E-06,799.5293585,2.92E-06,799.5293585,2.54E-06,499.8970592,0.321604959,499.8970592,0.16574634,,,,,
32.73997984,4.35E-05,67.40766575,0.000734635,2024.851811,0.004673507,90.23352284,5.86E-06,35.58496854,5.23E-07,1501.037498,6.59E-06,1501.037498,7.85E-06,900.8079588,8.05E-06,900.8079588,1.14E-05,550.7649488,1.346817669,548.7159853,0.543675352,,,,,
35.58496854,3.73E-05,87.76173228,0.001108263,3029.024419,0.003614396,100.8367449,3.00E-06,45.06088933,1.13E-06,1703.831736,8.15E-06,1697.493117,8.44E-06,999.8970539,0.01863954,999.8970539,0.011044917,600.061774,2.441008034,600.061774,0.951652296,,,,,
39.76651119,4.35E-05,100.8367449,0.001361221,7066.68809,0.000376611,111.1318028,2.45E-06,53.23240844,6.17E-06,1898.315783,1.04E-05,1898.315783,1.04E-05,1101.643308,0.075382364,1101.643308,0.028380976,,,,,,,,,
45.69104825,4.58E-05,117.4799659,0.002161829,10139.84609,0.000165482,131.2848815,3.00E-06,59.48767844,1.56E-05,2000,1.04E-05,2007.468211,1.04E-05,1200.247109,0.174417782,1200.247109,0.065667175,,,,,,,,,
54.73168792,6.91E-05,144.6885812,0.004005701,20024.79849,0.000141836,204.7473716,1.40E-05,69.30618835,8.93E-05,2195.315917,1.48E-05,2203.513458,1.33E-05,1302.811716,0.305259987,1302.811716,0.086939139,,,,,,,,,
57.06015292,9.90E-05,191.0123818,0.008225808,30799.26908,6.23E-05,302.0622839,4.82E-05,83.01942759,0.000629662,2400.741365,1.83E-05,2400.741365,2.26E-05,,,,,,,,,,,,,
62.01847883,0.000109693,245.2596225,0.016891903,50076.97865,2.23E-05,439.4842394,0.000174209,155.0925989,0.001052741,2586.538814,3.31E-05,2605.891698,2.69E-05,,,,,,,,,,,,,
62.01847883,0.000165482,306.2865069,0.029731326,68922.25357,1.40E-05,630.6069393,0.000598116,270.2997208,0.001852922,2807.566079,7.67E-05,2797.121333,9.79E-05,,,,,,,,,,,,,
66.47799695,0.000225257,421.5501187,0.038443368,,,969.9090267,0.002522236,471.0859163,0.004005701,3002.38408,0.004097792,3002.38408,0.002344907,,,,,,,,,,,,,
66.47799695,0.000439397,564.2971291,0.047217952,,,1411.165026,0.009116359,724.5566994,0.007813707,3198.776003,0.036948887,3198.776003,0.010523175,,,,,,,,,,,,,
71.25818242,0.000462571,694.9895701,0.057995308,,,1862.96659,0.022993609,1039.651577,0.015241781,,,,,,,,,,,,,,,,,
72.25470026,0.001108263,867.9208,0.038443368,,,,,1353.579335,0.024206309,,,,,,,,,,,,,,,,,
76.38209326,0.001671915,1039.651577,0.028241831,,,,,1737.993912,0.044852403,,,,,,,,,,,,,,,,,
77.45026698,0.01447819,1211.247268,0.025482967,,,,,1996.925587,0.071232563,,,,,,,,,,,,,,,,,
122.4779479,0.015241781,1599.042742,0.020747429,,,,,2231.581675,0.092105532,,,,,,,,,,,,,,,,,
216.443121,0.016045644,1915.436648,0.015241781,,,,,,,,,,,,,,,,,,,,,,,
372.0205651,0.016045644,2110.995629,0.01447819,,,,,,,,,,,,,,,,,,,,,,,
997.2263085,0.016891903,2425.498247,0.010636181,,,,,,,,,,,,,,,,,,,,,,,
2140.517078,0.016045644,2905.418417,0.007050409,,,,,,,,,,,,,,,,,,,,,,,
3782.723381,0.016045644,3628.361036,0.004216965,,,,,,,,,,,,,,,,,,,,,,,
8119.505002,0.016045644,4594.557247,0.002395876,,,,,,,,,,,,,,,,,,,,,,,
16486.52294,0.015241781,5279.068507,0.001671915,,,,,,,,,,,,,,,,,,,,,,,
62537.41529,0.016891903,7265.719859,0.001228247,,,,,,,,,,,,,,,,,,,,,,,
,,9726.067377,0.000857108,,,,,,,,,,,,,,,,,,,,,,,
,,13201.62103,0.000568152,,,,,,,,,,,,,,,,,,,,,,,
,,17187.91354,0.000357743,,,,,,,,,,,,,,,,,,,,,,,
,,22377.8861,0.000262811,,,,,,,,,,,,,,,,,,,,,,,
,,29542.43719,0.000157191,,,,,,,,,,,,,,,,,,,,,,,
,,39546.21706,0.000109693,,,,,,,,,,,,,,,,,,,,,,,
,,50777.28562,6.91E-05,,,,,,,,,,,,,,,,,,,,,,,
,,61674.9157,6.23E-05,,,,,,,,,,,,,,,,,,,,,,,
,,70863.4342,6.23E-05,,,,,,,,,,,,,,,,,,,,,,,
